fixedPlayerID,fixedBackgroundName,fixedBackgroundSeason,fixedBackgroundList,fixedBackgroundTeam,fixedBackgroundDraft,fixedBackgroundPick,fixedBackgroundAge,fixedBackgroundU18Champs,fixedBackgroundStateLeague,fixedPositionPosition,fixedBackgroundReserves,fixedSplitsRegularCBA,fixedSplitsRegularKICKIN,fixedSplitsH1CBA,fixedSplitsH1KICKIN,fixedSplitsH2CBA,fixedSplitsH2KICKIN,fixedSplitsLast5CBA,fixedSplitsLast5KICKIN,fixedSplitsFinalsCBA,fixedSplitsFinalsKICKIN,fixedPracticeCBA,fixedPracticeKICKIN,fixedPreseasonCBA,fixedPreseasonKICKIN,fixedBestMatches,fixedBestCBA,fixedBestTOG,fixed2022Matches,fixed2022CBA,fixed2022TOG,fixed2021Matches,fixed2021CBA,fixed2021TOG,fixed2020Matches,fixed2020CBA,fixed2020TOG,fixed2019Matches,fixed2019TOG,fixed2018Matches,fixed2018TOG,fixed2017Matches,fixed2017TOG
CD_I1000072,John Noble,5,Snr,COLL,2018 Mid-Season,14,25,none,86 [SANFL League],DEF,none,0,4.5,0,3.923076923,0,5.333333333,0,6,0,2.666666667,none,none,none,none,25,0,81.35294118,25,0,78.08,22,0,77.95454545,17,0,81.35294118,5,73.4,none,none,none,none
CD_I993902,Matt Flynn,8,Snr,GWS,2015 National,41,25,none,none,RUC,95.5,66.75,0,61.75,0,76.75,0,none,none,none,none,none,none,none,none,12,66.75,74.41666667,12,66.75,74.41666667,12,57.66666667,72.75,zero,zero,zero,zero,zero,zero,zero,zero,zero
CD_I294266,Tom Hickey,13,Snr,SYD,2010 Cat B,none,32,none,none,RUC,109.5,66.92307692,0,57,0,73.125,0,75,0,80.33333333,0,none,none,none,none,21,83.42857143,87.6,16,69.4375,73.25,21,83.42857143,80.66666667,3,36.85770751,58,20,71.6,13,83.9,5,87
CD_I280711,Charlie Dixon,13,Snr,PORT,2009 Cat B,none,32,none,none,FWD,66.5,23.66666667,0,0,0,25.81818182,0,17.8,0,none,none,none,none,none,none,24,23.66666667,94.83333333,12,23.66666667,86.16666667,24,4.75,94.83333333,18,0.595238095,94.33333333,9,87.3,20,92.7,23,93.3
CD_I294592,Kamdyn McIntosh,11,Snr,RICH,2012 National,31,28,none,none,MID,none,0,2.1,0,0.555555556,0,3.363636364,0,4.8,0,0,none,none,none,none,24,1.295780681,83.33333333,21,0,83.33333333,17,0,78.05882353,18,1.295780681,82.05555556,16,81.3,21,74.6,24,79.1
CD_I990290,Tom Barrass,10,Snr,WCE,2013 National,43,27,none,none,DEF,none,0.684210526,0,1.444444444,0,0,0,0,0,none,none,none,none,none,none,19,0.684210526,93,19,0.684210526,93,16,0,87.0625,18,0,89.88888889,14,83.4,19,88.8,19,86
CD_I296420,Alex Neal-Bullen,9,Snr,MELB,2014 National,40,27,none,none,FWD,none,3.952380952,0,5.666666667,0,1.666666667,0,1.4,0,0,0,none,none,none,none,25,3.608695652,80.6,23,3.608695652,79.69565217,25,2.64,75.64,7,0,71.28571429,14,76.1,25,79.1,19,80.6
CD_I1005247,Sam Taylor,6,Snr,GWS,2017 National,28,23,41.8,33 [SANFL U18s],DEF,none,0,0,0,0,0,0,0,0,none,none,none,none,none,none,22,0,96.90909091,22,0,96.90909091,19,0,93.73684211,4,0,88.75,22,81.5,8,78.2,none,none
CD_I997142,Peter Ladhams,7,Snr,SYD,2016 Rookie,9,25,42.2,none,RUC,102,72.81818182,0,76.33333333,0,57,0,none,none,none,none,none,none,none,none,17,72.81818182,82,11,72.81818182,71.27272727,17,42.94117647,80.11764706,10,57.82644278,82,5,77.2,zero,zero,zero,zero
CD_I294733,Paul Seedsman,13,Snr,ADEL,2010 National,76,31,none,none,MID,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,22,13.55046188,86.88888889,zero,zero,zero,22,11.18181818,82.31818182,9,13.55046188,86.88888889,13,82,19,78.8,5,74.9
