fixedPlayerID,fixedBackgroundName,fixedBackgroundSeason,draftHeight,draftWeight,draftU19games,draftU19average,draftU19last5,draftU19finals,draftU19highest,draftU19exlowest,draftU19rankgames,draftU19rankaverage,draftU19ranklast5,draftU19rankfinals,draftU19rankhighest,draftU19rankexlowest,draftlocalU19R1,draftlocalU19R2,draftlocalU19R3,draftlocalU19R4,draftlocalU19R5,draftlocalU19R6,draftlocalU19R7,draftlocalU19R8,draftlocalU19R9,draftlocalU19R10,draftlocalU19R11,draftlocalU19R12,draftlocalU19R13,draftlocalU19R14,draftlocalU19R15,draftlocalU19R16,draftlocalU19R17,draftlocalU19R18,draftlocalU19R19,draftlocalU19R20,draftState1sR1,draftState1sR2,draftState1sR3,draftState1sR4,draftState1sR5,draftState1sR6,draftState1sR7,draftState1sR8,draftState1sR9,draftState1sR10,draftState1sR11,draftState1sR12,draftState1sR13,draftState1sR14,draftState1sR15,draftState1sR16,draftState1sR17,draftState1sR18,draftState1sR19,draftState1sR20,draftState2sR1,draftState2sR2,draftState2sR3,draftState2sR4,draftState2sR5,draftState2sR6,draftState2sR7,draftState2sR8,draftState2sR9,draftState2sR10,draftState2sR11,draftState2sR12,draftState2sR13,draftState2sR14,draftState2sR15,draftState2sR16,draftState2sR17,draftState2sR18,draftState2sR19,draftState2sR20,draftPositionJunior,draftPlayerComp,draftRound1,afPrice40,afPrice60,afPrice80,scPrice40,scPrice60,scPrice80,
CD_I1020670,Elijah Hewett,1,Jnr,185,84,0,0,0,0,0,0,71,71,58,46,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,78,55,54,0,0,7,0,0,0,0,0,0,0,0,0,46,72,71,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,General Mid,Dustin Martin,High,80000,257000,434000,71280,181320,291360
CD_I1023486,Matthew Jefferson,1,Jnr,195,84,6,69,68,67,119,76,45,49,37,26,23,33,30,66,61,119,0,0,0,0,0,0,0,0,0,0,0,68,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Key Forward,Max King,Low,82000,259000,436000,75780,185820,295860
CD_I1021122,Harry Rowston,1,Jnr,182,81,7,89,100,97,117,95,22,44,12,11,29,11,93,53,64,117,0,0,0,0,0,0,0,0,0,0,0,100,103,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inside Mid,Nat Fyfe,Low,84000,261000,438000,80280,190320,300360
CD_I1015370,Max Michalanney,1,Jnr,190,78,2,87,0,0,90,83,26,67,58,46,54,28,83,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,66,70,0,57,0,0,0,0,0,0,0,0,64,73,73,0,Key defender,Harris Andrews,Low,86000,263000,440000,84780,194820,304860
CD_I1027935,Josh Weddle,1,Jnr,192,92,6,54,54,45,64,56,60,49,47,40,68,52,64,64,54,43,0,0,0,0,0,0,0,0,0,0,0,54,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Running defender,Darcy Moore,Medium,88000,265000,442000,89280,199320,309360
CD_I1022915,Edward Allan,1,Jnr,194,83,5,100,111,0,125,63,9,56,8,46,20,44,0,0,0,0,0,0,0,0,0,0,0,0,63,0,106,0,121,125,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Utility,Nik Cox,Medium,90000,267000,444000,93780,203820,313860
CD_I1023530,Jacob Konstanty,1,Jnr,177,73,14,77,63,87,114,80,38,4,42,14,33,30,76,57,69,75,103,0,0,90,114,0,0,38,70,75,70,64,0,104,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Small forward,Brad Close,Low,92000,269000,446000,98280,208320,318360
CD_I1020650,Darcy Jones,1,Jnr,175,64,6,101,0,0,145,76,7,49,58,46,11,33,76,80,145,94,107,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,99,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,89,Wing,Toby Greene,Low,94000,271000,448000,102780,212820,322860
CD_I1027921,Max Gruzewski,1,Jnr,193,85,7,57,43,63,74,60,58,44,54,29,63,47,74,64,60,37,0,0,57,0,0,0,0,0,0,0,0,43,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Key defender,Josh Gibcus,Low,96000,273000,450000,102780,212820,322860
CD_I1020057,Harry Barnett,1,Jnr,202,96,12,94,85,0,158,58,13,15,23,46,6,49,70,70,82,76,58,113,158,109,132,0,0,91,0,0,0,0,90,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruck,Brodie Grundy,Low,98000,275000,452000,102780,212820,322860
